date,open,high,low,close,Volume,Close time,Quote asset volume,Trades,Tbbav,Tbqav,ig
1649273400000,2958.91000000,2964.68000000,2956.88000000,2957.03000000,27.20550000,1649273579999,80542.50265800,89,16.23650000,48088.13496300,0
1649273580000,2956.30000000,2956.30000000,2947.39000000,2952.20000000,34.67010000,1649273759999,102335.05590100,133,17.42550000,51450.33484700,0
1649273760000,2950.54000000,2957.32000000,2946.42000000,2957.19000000,29.13220000,1649273939999,85985.69994900,120,9.95400000,29387.23493200,0
1649273940000,2957.59000000,2959.46000000,2951.12000000,2955.83000000,31.48720000,1649274119999,93028.34278000,127,16.53750000,48844.05465400,0
1649274120000,2956.00000000,2963.18000000,2955.41000000,2961.65000000,13.11120000,1649274299999,38805.66020000,87,8.45810000,25035.86227900,0
1649274300000,2961.68000000,2972.57000000,2961.42000000,2972.49000000,14.22180000,1649274479999,42213.17432500,80,6.44260000,19119.33779800,0
1649274480000,2972.41000000,2974.72000000,2964.20000000,2965.45000000,29.43640000,1649274659999,87455.20699400,122,12.70990000,37777.89440000,0
1649274660000,2963.73000000,2970.92000000,2963.30000000,2969.27000000,16.67930000,1649274839999,49511.10891000,80,7.21370000,21417.86378900,0
1649274840000,2968.51000000,2970.87000000,2963.41000000,2968.23000000,20.77130000,1649275019999,61613.33160700,101,8.57650000,25436.12035400,0
1649275020000,2968.89000000,2971.41000000,2964.00000000,2966.24000000,44.07350000,1649275199999,130761.53623100,129,37.09680000,110066.77906100,0
1649275200000,2966.25000000,2972.24000000,2963.30000000,2969.99000000,53.56350000,1649275379999,159031.37795900,146,16.73150000,49663.13359100,0
1649275380000,2969.69000000,2979.06000000,2969.69000000,2975.90000000,61.41860000,1649275559999,182774.03990200,179,31.46110000,93628.20281500,0
1649275560000,2975.52000000,2977.01000000,2972.69000000,2972.70000000,19.08960000,1649275739999,56773.54404400,88,12.82290000,38131.54376100,0
1649275740000,2973.00000000,2974.82000000,2966.33000000,2966.84000000,27.49170000,1649275919999,81651.95178300,131,14.84960000,44109.72175100,0
1649275920000,2966.58000000,2966.84000000,2956.42000000,2956.42000000,94.03950000,1649276099999,278416.04437000,233,43.66480000,129265.71156100,0
1649276100000,2956.41000000,2956.87000000,2944.10000000,2945.97000000,42.31930000,1649276279999,124870.84921400,177,18.04230000,53247.68509900,0
1649276280000,2945.97000000,2953.21000000,2945.96000000,2948.98000000,68.25150000,1649276459999,201357.46899300,264,29.94490000,88331.67715600,0
1649276460000,2948.86000000,2956.21000000,2947.21000000,2956.21000000,49.05110000,1649276639999,144755.53751600,168,26.44440000,78054.60841400,0
1649276640000,2956.22000000,2958.27000000,2950.42000000,2955.66000000,24.08090000,1649276819999,71122.26881200,111,10.96710000,32386.11623900,0
1649276820000,2956.91000000,2961.15000000,2956.82000000,2961.15000000,28.11290000,1649276999999,83156.52966000,100,15.16700000,44860.74750100,0
1649277000000,2960.47000000,2961.39000000,2958.25000000,2960.92000000,33.40170000,1649277179999,98876.60812100,105,20.17770000,59737.74396300,0
1649277180000,2960.94000000,2963.00000000,2960.60000000,2960.80000000,16.30090000,1649277359999,48279.87828700,75,9.79870000,29020.81889900,0
1649277360000,2961.04000000,2961.33000000,2955.32000000,2956.48000000,25.85020000,1649277539999,76454.88216200,97,12.20990000,36115.99864800,0
1649277540000,2956.44000000,2958.90000000,2953.54000000,2956.84000000,37.96260000,1649277719999,112252.11501100,95,22.94010000,67825.99830700,0
1649277720000,2956.75000000,2958.51000000,2953.40000000,2953.40000000,22.88080000,1649277899999,67632.69917300,70,12.50490000,36967.64862600,0
1649277900000,2954.13000000,2966.20000000,2952.50000000,2965.42000000,77.08010000,1649278079999,227820.11096400,255,33.69430000,99575.09480100,0
1649278080000,2964.76000000,2975.62000000,2964.76000000,2973.38000000,28.82660000,1649278259999,85624.64054200,82,25.47870000,75674.36069900,0
1649278260000,2973.73000000,2977.30000000,2973.02000000,2976.20000000,5.69900000,1649278439999,16951.42171000,44,2.59070000,7706.25594900,0
1649278440000,2976.29000000,2979.64000000,2974.74000000,2976.40000000,19.17240000,1649278619999,57089.38648000,74,8.48710000,25272.29214500,0
1649278620000,2977.91000000,2979.42000000,2972.42000000,2973.67000000,31.13400000,1649278799999,92649.49672500,127,23.16460000,68934.75169400,0
1649278800000,2973.58000000,2976.24000000,2966.34000000,2966.34000000,43.17540000,1649278979999,128287.81438400,161,17.34670000,51526.36998700,0
1649278980000,2966.42000000,2972.58000000,2963.92000000,2972.58000000,29.22890000,1649279159999,86726.40254800,111,7.85270000,23301.11422900,0
1649279160000,2972.35000000,2980.02000000,2971.21000000,2980.02000000,24.32770000,1649279339999,72395.01099900,88,14.00550000,41693.39132500,0
1649279340000,2980.41000000,2980.43000000,2974.25000000,2975.65000000,12.21130000,1649279519999,36354.13799600,65,6.57910000,19581.94425500,0
1649279520000,2976.81000000,2976.81000000,2969.56000000,2971.36000000,6.27940000,1649279699999,18665.98718600,41,2.36780000,7036.04584800,0
1649279700000,2971.20000000,2972.67000000,2968.49000000,2972.67000000,10.24950000,1649279879999,30444.89573700,63,5.63440000,16737.32240100,0
1649279880000,2972.04000000,2973.35000000,2968.53000000,2971.78000000,31.65360000,1649280059999,94050.18419000,143,19.71830000,58595.42659600,0
1649280060000,2971.79000000,2974.37000000,2968.97000000,2969.50000000,29.53750000,1649280239999,87808.36488100,103,25.65140000,76257.69886800,0
1649280240000,2970.02000000,2973.61000000,2968.48000000,2973.60000000,8.06650000,1649280419999,23969.32355700,45,3.93490000,11695.65823500,0
1649280420000,2973.14000000,2975.20000000,2973.14000000,2973.76000000,18.21090000,1649280599999,54151.80118600,74,3.08840000,9186.15956600,0
1649280600000,2974.06000000,2975.03000000,2970.77000000,2972.80000000,6.73300000,1649280779999,20015.75252800,49,2.31970000,6898.29551500,0
1649280780000,2973.08000000,2973.08000000,2967.48000000,2967.52000000,8.69390000,1649280959999,25808.28910200,48,0.73080000,2170.81436900,0
1649280960000,2967.75000000,2968.36000000,2961.62000000,2962.12000000,24.02280000,1649281139999,71215.19159500,110,2.82470000,8376.91652500,0
1649281140000,2961.33000000,2966.71000000,2960.10000000,2965.47000000,4.50750000,1649281319999,13356.53940400,40,2.03690000,6035.53802000,0
1649281320000,2965.47000000,2967.01000000,2962.65000000,2962.80000000,6.98550000,1649281499999,20709.03853600,42,6.02790000,17868.30410200,0
1649281500000,2962.26000000,2964.33000000,2960.27000000,2962.29000000,12.60500000,1649281679999,37323.23939700,64,3.76870000,11161.10676400,0
1649281680000,2962.46000000,2965.77000000,2962.46000000,2965.77000000,3.96190000,1649281859999,11748.00132000,34,1.43080000,4242.63824600,0
1649281860000,2965.75000000,2966.90000000,2959.93000000,2966.19000000,21.33540000,1649282039999,63202.16375200,130,4.13910000,12264.53457700,0
1649282040000,2967.98000000,2972.51000000,2967.98000000,2971.46000000,51.34970000,1649282219999,152526.11034600,167,19.85140000,58960.90887800,0
1649282220000,2969.82000000,2969.82000000,2965.85000000,2966.32000000,19.82750000,1649282399999,58848.52451500,76,9.49910000,28198.28495400,0
1649282400000,2966.14000000,2966.14000000,2961.34000000,2962.24000000,22.09320000,1649282579999,65475.93410000,91,10.38930000,30784.54526600,0
1649282580000,2962.46000000,2966.26000000,2962.46000000,2964.52000000,23.17360000,1649282759999,68689.54770600,69,14.32370000,42450.49784600,0
1649282760000,2964.32000000,2968.89000000,2962.08000000,2965.29000000,21.81260000,1649282939999,64697.50327000,79,10.53570000,31250.49252200,0
1649282940000,2965.26000000,2968.51000000,2964.23000000,2966.71000000,13.94150000,1649283119999,41351.81006000,65,6.60260000,19587.00058000,0
1649283120000,2966.95000000,2970.86000000,2966.95000000,2970.33000000,15.60180000,1649283299999,46332.33649900,73,6.04790000,17959.23784800,0
1649283300000,2969.97000000,2971.06000000,2961.10000000,2961.88000000,21.43080000,1649283479999,63512.68500100,87,11.06140000,32785.48905800,0
1649283480000,2961.62000000,2962.78000000,2957.25000000,2957.98000000,14.21680000,1649283659999,42088.69414600,78,6.68300000,19788.20848900,0
1649283660000,2957.19000000,2957.57000000,2952.51000000,2956.02000000,20.11690000,1649283839999,59439.37816400,140,10.73390000,31713.88019900,0
1649283840000,2955.07000000,2957.36000000,2950.60000000,2957.36000000,79.06000000,1649284019999,233530.68733600,271,39.44890000,116534.63956900,0
1649284020000,2957.20000000,2957.62000000,2947.68000000,2948.71000000,56.49200000,1649284199999,166867.90681900,182,15.92750000,47061.90811000,0
1649284200000,2948.00000000,2951.94000000,2948.00000000,2950.29000000,14.44700000,1649284379999,42621.24611300,70,10.91310000,32194.93399500,0
1649284380000,2950.37000000,2950.40000000,2941.80000000,2944.03000000,39.81590000,1649284559999,117281.80844600,174,7.54860000,22231.45509500,0
1649284560000,2944.94000000,2950.01000000,2944.80000000,2949.91000000,26.61900000,1649284739999,78473.76977800,112,15.46050000,45587.38804500,0
1649284740000,2948.85000000,2949.75000000,2942.03000000,2943.26000000,28.71470000,1649284919999,84622.09878000,90,19.38920000,57149.06077700,0
1649284920000,2942.97000000,2944.15000000,2937.12000000,2938.62000000,31.66760000,1649285099999,93109.81020800,138,8.68390000,25544.32883600,0
1649285100000,2938.66000000,2943.06000000,2936.78000000,2940.08000000,25.82940000,1649285279999,75958.58134200,154,12.24280000,36010.15458700,0
1649285280000,2940.09000000,2943.83000000,2940.09000000,2942.45000000,20.19840000,1649285459999,59429.36540800,105,13.44470000,39553.20794900,0
1649285460000,2942.44000000,2946.86000000,2941.57000000,2945.81000000,32.69610000,1649285639999,96266.96816000,103,24.20500000,71264.87261100,0
1649285640000,2945.84000000,2947.04000000,2940.85000000,2941.29000000,35.88550000,1649285819999,105649.79913700,129,19.75820000,58157.99356500,0
1649285820000,2942.06000000,2942.21000000,2929.26000000,2931.65000000,35.81120000,1649285999999,105092.74732300,135,9.24820000,27136.29323400,0
1649286000000,2931.72000000,2942.54000000,2931.43000000,2933.48000000,54.32720000,1649286179999,159680.66037400,139,31.73580000,93262.99989300,0
1649286180000,2933.35000000,2935.00000000,2928.24000000,2928.24000000,29.19010000,1649286359999,85602.97769600,84,10.47990000,30737.98475900,0
1649286360000,2928.24000000,2933.86000000,2923.62000000,2933.86000000,71.77820000,1649286539999,210085.53583400,226,45.61220000,133495.44799900,0
1649286540000,2934.24000000,2945.76000000,2933.61000000,2942.82000000,50.47810000,1649286719999,148456.23503600,168,24.91840000,73277.29661400,0
1649286720000,2942.67000000,2942.67000000,2933.77000000,2934.28000000,26.71880000,1649286899999,78503.15381700,105,12.02690000,35340.87181800,0
1649286900000,2934.14000000,2940.22000000,2933.67000000,2940.22000000,20.06440000,1649287079999,58922.06297900,97,14.55130000,42726.22862200,0
1649287080000,2940.22000000,2943.44000000,2940.22000000,2943.01000000,18.33040000,1649287259999,53929.37038600,71,11.49250000,33812.06605300,0
1649287260000,2943.04000000,2947.82000000,2943.04000000,2945.48000000,31.02620000,1649287439999,91412.33519600,128,21.08630000,62124.11907200,0
1649287440000,2944.40000000,2948.54000000,2941.98000000,2948.24000000,32.02340000,1649287619999,94309.57426700,107,16.61920000,48946.36077100,0
1649287620000,2946.07000000,2946.07000000,2941.30000000,2943.04000000,27.34020000,1649287799999,80458.23058000,89,10.93030000,32162.52171400,0
1649287800000,2942.06000000,2946.08000000,2929.80000000,2933.03000000,49.19920000,1649287979999,144492.36601400,142,19.21860000,56477.01031800,0
1649287980000,2932.60000000,2936.57000000,2928.46000000,2929.06000000,56.77260000,1649288159999,166490.87387900,174,31.38520000,92020.85949500,0
1649288160000,2928.50000000,2929.77000000,2925.27000000,2926.42000000,59.96510000,1649288339999,175592.51828900,167,30.87740000,90406.86942400,0
1649288340000,2926.41000000,2928.64000000,2922.42000000,2922.73000000,72.48820000,1649288519999,212048.64058600,215,36.31660000,106217.25268300,0
